G16 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036

G17 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G22 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036

G18 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G22 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G23 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036

G19 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G22 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G23 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G24 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036

G20 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G21 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G22 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G23 A 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G24 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036
G25 H 34 78 1 3 20 24 9 26 21 18 9 4 21 90 L 0.036121604036

